code,description,start_date,last_modified,notes
N567,Not covered when considered preventative.,03/01/2013,,
N569,Not covered when performed for the reported diagnosis.,03/01/2013,,
N57,Missing/incomplete/invalid prescribing date.,01/01/2000,12/02/2004,Modified 12/2/04
N570,Missing/incomplete/invalid credentialing data.,03/01/2013,03/14/2014,Modified 3/14/2014
N572,This procedure is not payable unless appropriate non-payable reporting codes and associated modifiers are submitted.,03/01/2013,07/01/2014,
N574,Our records indicate the ordering/referring provider is of a type/specialty that cannot order or refer. Please verify that the claim ordering/referring provider information is accurate or contact the ordering/referring provider.,07/15/2013,,
N575,Mismatch between the submitted ordering/referring provider name and the ordering/referring provider name stored in our records.,07/15/2013,,
N576,Services not related to the specific incident/claim/accident/loss being reported.,07/15/2013,,
N577,Personal Injury Protection (PIP) Coverage.,07/15/2013,,
N578,Coverages do not apply to this loss.,07/15/2013,,
N579,Medical Payments Coverage (MPC).,07/15/2013,,
N58,Missing/incomplete/invalid patient liability amount.,01/01/2000,02/28/2003,Modified 2/28/03
N580,Determination based on the provisions of the insurance policy.,07/15/2013,,
N581,Investigation of coverage eligibility is pending.,07/15/2013,,
N582,Benefits suspended pending the patient's cooperation.,07/15/2013,,
N583,"Patient was not an occupant of our insured vehicle and therefore, is not an eligible injured person.",07/15/2013,,
N584,Not covered based on the insured's noncompliance with policy or statutory conditions.,07/15/2013,,
N585,Benefits are no longer available based on a final injury settlement.,07/15/2013,,
N586,The injured party does not qualify for benefits.,07/15/2013,,
N587,Policy benefits have been exhausted.,07/15/2013,,
N588,The patient has instructed that medical claims/bills are not to be paid.,07/15/2013,,
N589,Coverage is excluded to any person injured as a result of operating a motor vehicle while in an intoxicated condition or while the ability to operate such a vehicle is impaired by the use of a drug.,07/15/2013,,
N590,Missing independent medical exam detailing the cause of injuries sustained and medical necessity of services rendered.,07/15/2013,,
N591,Payment based on an Independent Medical Examination (IME) or Utilization Review (UR).,07/15/2013,,
N592,Adjusted because this is not the initial prescription or exceeds the amount allowed for the initial prescription.,07/15/2013,,
N593,Not covered based on failure to attend a scheduled Independent Medical Exam (IME).,07/15/2013,,
N594,Records reflect the injured party did not complete an Application for Benefits for this loss.,07/15/2013,,
N595,Records reflect the injured party did not complete an Assignment of Benefits for this loss.,07/15/2013,,
N596,Records reflect the injured party did not complete a Medical Authorization for this loss.,07/15/2013,,
N597,Adjusted based on a medical/dental provider's apportionment of care between related injuries and other unrelated medical/dental conditions/injuries.,07/15/2013,11/01/2013,
N598,Health care policy coverage is primary.,07/15/2013,,
N599,"Our payment for this service is based upon a reasonable amount pursuant to both the terms and conditions of the policy of insurance under which the subject claim is being made as well as the Florida No-Fault Statute, which permits, when determining a reasonable charge for a service, an insurer to consider usual and customary charges and payments accepted by the provider, reimbursement levels in the community and various federal and state fee schedules applicable to automobile and other insurance coverages, and other information relevant to the reasonableness of the reimbursement for the service. The payment for this service is based upon 200% of the Participating Level of Medicare Part B fee schedule for the locale in which the services were rendered.",07/15/2013,,
N6,"Under FEHB law (U.S.C. 8904(b)), we cannot pay more for covered care than the amount Medicare would have allowed if the patient were enrolled in Medicare Part A and/or Medicare Part B.",01/01/2000,02/28/2003,Modified 2/28/03
N600,Adjusted based on the applicable fee schedule for the region in which the service was rendered.,07/15/2013,,
N601,"In accordance with Hawaii Administrative Rules, Title 16, Chapter 23 Motor Vehicle Insurance Law payment is recommended based on Medicare Resource Based Relative Value Scale System applicable to Hawaii.",07/15/2013,,
N602,Adjusted based on the Redbook maximum allowance.,07/15/2013,,
N603,This fee is calculated according to the New Jersey medical fee schedules for Automobile Personal Injury Protection and Motor Bus Medical Expense Insurance Coverage.,07/15/2013,,
N604,"In accordance with New York No-Fault Law, Regulation 68, this base fee was calculated according to the New York Workers' Compensation Board Schedule of Medical Fees, pursuant to Regulation 83 and / or Appendix 17-C of 11 NYCRR.",07/15/2013,,
N605,"This fee was calculated based upon New York All Patients Refined Diagnosis Related Groups (APR-DRG), pursuant to Regulation 68.",07/15/2013,,
N606,The Oregon allowed amount for this procedure is based upon the Workers Compensation Fee Schedule (OAR 436-009). The allowed amount has been calculated in accordance with Section 4 of ORS 742.524.,07/15/2013,,
N607,Service provided for non-compensable condition(s).,07/15/2013,,
N608,"The fee schedule amount allowed is calculated at 110% of the Medicare Fee Schedule for this region, specialty and type of service. This fee is calculated in compliance with Act 6.",07/15/2013,,
N609,80% of the provider's billed amount is being recommended for payment according to Act 6.,07/15/2013,03/14/2014,Modified 3/14/2014
N61,Rebill services on separate claims.,01/01/2000,,
N611,Claim in litigation. Contact insurer for more information.,07/15/2013,,
N612,Medical provider not authorized/certified to provide treatment to injured workers in this jurisdiction.,07/15/2013,,
N617,This enrollee is in the second or third month of the advance premium tax credit grace period.,07/15/2013,,
N619,Coverage terminated for non-payment of premium.,07/15/2013,,
N62,Dates of service span multiple rate periods. Resubmit separate claims.,01/01/2000,03/08/2011,Modified 3/8/11
N621,"Charges for Jurisdiction required forms, reports, or chart notes are not payable.",07/15/2013,,
N622,Not covered based on the date of injury/accident.,07/15/2013,,
N623,Not covered when deemed unscientific/unproven/outmoded/experimental/excessive/inappropriate.,07/15/2013,,
N624,The associated Workers' Compensation claim has been withdrawn.,07/15/2013,,
N625,Missing/Incomplete/Invalid Workers' Compensation Claim Number.,07/15/2013,,
N626,New or established patient E/M codes are not payable with chiropractic care codes.,07/15/2013,,
N628,Out-patient follow up visits on the same date of service as a scheduled test or treatment is disallowed.,07/15/2013,,
N629,Reviews/documentation/notes/summaries/reports/charts not requested.,07/15/2013,,
N63,Rebill services on separate claim lines.,01/01/2000,,
N630,Referral not authorized by attending physician.,07/15/2013,,
N631,Medical Fee Schedule does not list this code. An allowance was made for a comparable service.,07/15/2013,,
N633,Additional anesthesia time units are not allowed.,07/15/2013,,
N634,The allowance is calculated based on anesthesia time units.,07/15/2013,,
N635,The Allowance is calculated based on the anesthesia base units plus time.,07/15/2013,,
N636,Adjusted because this is reimbursable only once per injury.,07/15/2013,,
N637,Consultations are not allowed once treatment has been rendered by the same provider.,07/15/2013,,
N638,Reimbursement has been made according to the home health fee schedule.,07/15/2013,,
N639,Reimbursement has been made according to the inpatient rehabilitation facilities fee schedule.,07/15/2013,,
N64,The 'from' and 'to' dates must be different.,01/01/2000,,
N640,Exceeds number/frequency approved/allowed within time period.,07/15/2013,,
N641,Reimbursement has been based on the number of body areas rated.,07/15/2013,,
N642,Adjusted when billed as individual tests instead of as a panel.,07/15/2013,,
N643,The services billed are considered Not Covered or Non-Covered (NC) in the applicable state fee schedule.,07/15/2013,,
N644,Reimbursement has been made according to the bilateral procedure rule.,07/15/2013,,
N645,Mark-up allowance.,07/15/2013,03/14/2014,Modified 3/14/2014
N646,Reimbursement has been adjusted based on the guidelines for an assistant.,07/15/2013,,
N647,Adjusted based on diagnosis-related group (DRG).,07/15/2013,,
N648,Adjusted based on Stop Loss.,07/15/2013,,
N649,Payment based on invoice.,07/15/2013,,
N65,"Procedure code or procedure rate count cannot be determined, or was not on file, for the date of service/provider.",01/01/2000,02/28/2003,Modified 2/28/03
N650,This policy was not in effect for this date of loss. No coverage is available.,07/15/2013,,
N651,No Personal Injury Protection/Medical Payments Coverage on the policy at the time of the loss.,07/15/2013,,
N652,The date of service is before the date of loss.,07/15/2013,,
N653,The date of injury does not match the reported date of loss.,07/15/2013,,
N654,Adjusted based on achievement of maximum medical improvement (MMI).,07/15/2013,,
N655,Payment based on provider's geographic region.,07/15/2013,,
N656,An interest payment is being made because benefits are being paid outside the statutory requirement.,07/15/2013,,
N657,This should be billed with the appropriate code for these services.,07/15/2013,,
N658,The billed service(s) are not considered medical expenses.,07/15/2013,,
N659,This item is exempt from sales tax.,07/15/2013,,
N660,Sales tax has been included in the reimbursement.,07/15/2013,,
N661,Documentation does not support that the services rendered were medically necessary.,07/15/2013,,
N663,Adjusted based on an agreed amount.,07/15/2013,,
N664,Adjusted based on a legal settlement.,07/15/2013,,
N665,Services by an unlicensed provider are not reimbursable.,07/15/2013,,
N666,Only one evaluation and management code at this service level is covered during the course of care.,07/15/2013,,
N667,Missing prescription.,07/15/2013,03/14/2014,Modified 3/14/2014
N668,Incomplete/invalid prescription.,07/15/2013,03/14/2014,Modified 3/14/2014
N669,Adjusted based on the Medicare fee schedule.,07/15/2013,,
N67,"Professional provider services not paid separately. Included in facility payment under a demonstration project. Apply to that facility for payment, or resubmit your claim if: the facility notifies you the patient was excluded from this demonstration; or if you furnished these services in another location on the date of the patient's admission or discharge from a demonstration hospital. If services were furnished in a facility not involved in the demonstration on the same date the patient was discharged from or admitted to a demonstration facility, you must report the provider ID number for the non-demonstration facility on the new claim.",01/01/2000,,
N670,This service code has been identified as the primary procedure code subject to the Medicare Multiple Procedure Payment Reduction (MPPR) rule.,07/15/2013,,
N671,Payment based on a jurisdiction cost-charge ratio.,07/15/2013,,
N673,Reimbursement has been calculated based on an outpatient per diem or an outpatient factor and/or fee schedule amount.,07/15/2013,,
N674,Not covered unless a pre-requisite procedure/service has been provided.,07/15/2013,,
N675,Additional information is required from the injured party.,07/15/2013,,
N676,Service does not qualify for payment under the Outpatient Facility Fee Schedule.,07/15/2013,,
N678,Missing post-operative images/visual field results.,11/01/2013,,
N679,Incomplete/Invalid post-operative images/visual field results.,11/01/2013,,
N68,Prior payment being cancelled as we were subsequently notified this patient was covered by a demonstration project in this site of service. Professional services were included in the payment made to the facility. You must contact the facility for your payment. Prior payment made to you by the patient or another insurer for this claim must be refunded to the payer within 30 days.,01/01/2000,,
N680,Missing/Incomplete/Invalid date of previous dental extractions.,11/01/2013,,
N681,Missing/Incomplete/Invalid full arch series.,11/01/2013,,
N682,Missing/Incomplete/Invalid history of prior periodontal therapy/maintenance.,11/01/2013,,
N683,Missing/Incomplete/Invalid prior treatment documentation.,11/01/2013,,
N684,Payment denied as this is a specialty claim submitted as a general claim.,11/01/2013,,
N685,"Missing/Incomplete/Invalid Prosthesis, Crown or Inlay Code.",11/01/2013,,
N686,Missing/incomplete/Invalid questionnaire needed to complete payment determination.,11/01/2013,,
N699,Payment adjusted based on the Physician Quality Reporting System (PQRS) Incentive Program.,03/01/2014,,
N70,Consolidated billing and payment applies.,01/01/2000,11/05/2007,"Modified 2/28/02, 11/5/07"
N700,Payment adjusted based on the Electronic Health Records (EHR) Incentive Program.,03/01/2014,,
N701,Payment adjusted based on the Value-based Payment Modifier.,03/01/2014,,
N702,Decision based on review of previously adjudicated claims or for claims in process for the same/similar type of services.,03/01/2014,,
N703,This service is incompatible with previously adjudicated claims or claims in process.,03/01/2014,,
N705,Incomplete/invalid documentation.,03/01/2014,,
N706,Missing documentation.,03/01/2014,,
N707,Incomplete/invalid orders.,03/01/2014,,
N708,Missing orders.,03/01/2014,,
N709,Incomplete/invalid notes.,03/01/2014,,
N71,"Your unassigned claim for a drug or biological, clinical diagnostic laboratory services or ambulance service was processed as an assigned claim. You are required by law to accept assignment for these types of claims.",01/01/2000,06/30/2003,"Modified 2/21/02, 6/30/03"
N710,Missing notes.,03/01/2014,,
N711,Incomplete/invalid summary.,03/01/2014,,
N712,Missing summary.,03/01/2014,,
N713,Incomplete/invalid report.,03/01/2014,,
N714,Missing report.,03/01/2014,,
N715,Incomplete/invalid chart.,03/01/2014,,
N716,Missing chart.,03/01/2014,,
N717,Incomplete/Invalid documentation of face-to-face examination.,03/01/2014,,
N718,Missing documentation of face-to-face examination.,03/01/2014,,
N719,Penalty applied based on plan requirements not being met.,03/01/2014,,
N72,PPS (Prospective Payment System) code changed by medical reviewers. Not supported by clinical records.,01/01/2000,06/30/2003,Modified 6/30/03
N721,This service is only covered when performed as part of a clinical trial.,03/01/2014,,
N722,Patient must use Workers' Compensation Set-Aside (WCSA) funds to pay for the medical service or item.,03/01/2014,,
N723,Patient must use Liability set-aside (LSA) funds to pay for the medical service or item.,03/01/2014,,
N724,Patient must use No-Fault set-aside (NFSA) funds to pay for the medical service or item.,03/01/2014,,
N725,A liability insurer has reported having ongoing responsibility for medical services (ORM) for this diagnosis.,03/01/2014,,
N726,A conditional payment is not allowed.,03/01/2014,,
N727,A no-fault insurer has reported having ongoing responsibility for medical services (ORM) for this diagnosis.,03/01/2014,,
N728,A workers' compensation insurer has reported having ongoing responsibility for medical services (ORM) for this diagnosis.,03/01/2014,,
N729,Missing patient medical/dental record for this service.,11/01/2014,,
N730,Incomplete/invalid patient medical/dental record for this service.,11/01/2014,,
N731,Incomplete/Invalid mental health assessment.,11/01/2014,,
N732,Services performed at an unlicensed facility are not reimbursable.,11/01/2014,,
N733,Regulatory surcharges are paid directly to the state.,11/01/2014,,
N734,The patient is eligible for these medical services only when unable to work or perform normal activities due to an illness or injury.,11/01/2014,,
N736,Incomplete/invalid Sleep Study Report.,03/01/2015,,
N737,Missing Sleep Study Report.,03/01/2015,,
N738,Incomplete/invalid Vein Study Report.,03/01/2015,,
N739,Missing Vein Study Report.,03/01/2015,,
N74,"Resubmit with multiple claims, each claim covering services provided in only one calendar month.",01/01/2000,,
N740,The member's Consumer Spending Account does not contain sufficient funds to cover the member's liability for this claim/service.,03/01/2015,,
N741,This is a site neutral payment.,03/01/2015,,
N743,Adjusted because the services may be related to an employment accident.,03/01/2015,,
N744,Adjusted because the services may be related to an auto/other accident.,03/01/2015,03/01/2017,Modified 3/1/2017
N745,Missing Ambulance Report.,03/01/2015,,
N746,Incomplete/invalid Ambulance Report.,03/01/2015,,
N747,This is a misdirected claim/service. Submit the claim to the payer/plan where the patient resides.,03/01/2015,,
N748,Adjusted because the related hospital charges have not been received.,03/01/2015,,
N749,Missing Blood Gas Report.,03/01/2015,,
N75,Missing/incomplete/invalid tooth surface information.,01/01/2000,02/28/2003,Modified 2/28/03
N750,Incomplete/invalid Blood Gas Report.,03/01/2015,,
N751,Adjusted because the patient is covered under a Medicare Part D plan.,03/01/2015,07/01/2017,Modified 7/1/2017
N752,Missing/incomplete/invalid HIPPS Treatment Authorization Code (TAC).,03/01/2015,,
N753,Missing/incomplete/invalid Attachment Control Number.,07/01/2015,,
N754,Missing/incomplete/invalid Referring Provider or Other Source Qualifier on the 1500 Claim Form.,07/01/2015,,
N755,Missing/incomplete/invalid ICD Indicator.,07/01/2015,03/01/2016,Modified 3/1/2016
N756,Missing/incomplete/invalid point of drop-off address.,07/01/2015,,
N757,Adjusted based on the Federal Indian Fees schedule (MLR).,07/01/2015,,
N758,Adjusted based on the prior authorization decision.,07/01/2015,,
N759,Payment adjusted based on the National Electrical Manufacturers Association (NEMA) Standard XR-29-2013.,07/01/2015,,
N76,Missing/incomplete/invalid number of riders.,01/01/2000,02/28/2003,Modified 2/28/03
N760,This facility is not authorized to receive payment for the service(s).,11/01/2015,,
N761,This provider is not authorized to receive payment for the service(s).,11/01/2015,,
N762,This facility is not certified for Tomosynthesis (3-D) mammography.,11/01/2015,,
N763,The demonstration code is not appropriate for this claim; resubmit without a demonstration code.,11/01/2015,,
N764,Missing/incomplete/invalid Hematocrit (HCT) value.,03/01/2016,,
N765,This payer does not cover coinsurance assessed by a previous payer.,03/01/2016,03/01/2018,Modified 3/1/2018
N766,This payer does not cover co-payment assessed by a previous payer.,03/01/2016,,
N767,The Medicaid state requires provider to be enrolled in the member's Medicaid state program prior to any claim benefits being processed.,03/01/2016,,
N768,Incomplete/invalid initial evaluation report.,03/01/2016,,
N769,A lateral diagnosis is required.,03/01/2016,,
N77,Missing/incomplete/invalid designated provider number.,01/01/2000,02/28/2003,Modified 2/28/03
N770,The adjustment request received from the provider has been processed. Your original claim has been adjusted based on the information received.,03/01/2016,,
N773,Drug supplied not obtained from specialty vendor.,07/01/2016,,
N775,Payment adjusted based on x-ray radiograph on film.,11/01/2016,,
N776,This service is not a covered Telehealth service.,11/01/2016,,
N777,Missing Assignment of Benefits Indicator.,11/01/2016,03/01/2017,Modified 3/1/2017
N778,Missing Primary Care Physician Information.,11/01/2016,,
N779,Replacement/Void claims cannot be submitted until the original claim has finalized. Please resubmit once payment or denial is received.,11/01/2016,,
N78,The necessary components of the child and teen checkup (EPSDT) were not completed.,01/01/2000,,
N780,Missing/incomplete/invalid end therapy date.,11/01/2016,,
N784,Missing comprehensive procedure code.,11/01/2016,,
N785,Missing current radiology film/images.,11/01/2016,,
N786,Benefit limitation for the orthodontic active and/or retention phase of treatment.,11/01/2016,,
N789,Clinical Trial is not a covered benefit.,07/01/2017,,
N79,Service billed is not compatible with patient location information.,01/01/2000,,
N790,Provider/supplier not accredited for product/service.,07/01/2017,,
N791,Missing history,07/01/2017,,
N792,Incomplete/invalid history,07/01/2017,,
N794,Payment adjusted based on type of technology used.,07/01/2017,,
N795,Item must be resubmitted as a purchase.,11/01/2017,,
N796,Missing/incomplete/invalid Hemoglobin (Hb or Hgb) value.,11/01/2017,,
N797,Missing/incomplete/invalid date qualifier.,11/01/2017,,
N798,Submit a void request for the original claim and resubmit a new claim.,11/01/2017,,
N799,"Submitted identifier must be an individual identifier, not group identifier.",11/01/2017,03/01/2018,Modified 3/1/2018
N8,Crossover claim denied by previous payer and complete claim data not forwarded. Resubmit this claim to this payer to provide adequate data for adjudication.,01/01/2000,,
N80,Missing/incomplete/invalid prenatal screening information.,01/01/2000,02/28/2003,Modified 2/28/03
N800,Only one service date is allowed per claim.,03/01/2018,,
N801,"Services performed in a Medicare participating or CAH facility under a self-insured tribal Group Health Plan, in accordance with Federal Regulation 42 CFR 136.",03/01/2018,,
N802,This claim/service is not payable under our service area. The claim must be filed to the Payer/Plan in whose service area the Rendering Physician is located.,03/01/2018,,
N803,Submission of the claim for the service rendered is the responsibility of the Contracted Medical Group or Hospital.,03/01/2018,,
N806,Payment is included in the Global transplant allowance.,07/01/2018,,
N807,Payment adjustment based on the Merit-based Incentive Payment System (MIPS).,07/01/2018,,
N808,Not covered for this provider type / provider specialty.,07/01/2018,,
N81,Procedure billed is not compatible with tooth surface code.,01/01/2000,,
N811,Missing Federal Sequestration Reduction from Prior Payer.,11/01/2018,,
N812,The start service date through end service date cannot span greater than 18 months.,11/01/2018,,
N815,Missing/Incomplete/Invalid NDC Unit Count,07/01/2019,,
N816,Missing/Incomplete/Invalid NDC Unit of Measure,07/01/2019,,
N818,Claims Dates of Service do not match Electronic Visit Verification System.,07/01/2019,,
N819,Patient not enrolled in Electronic Visit Verification System.,07/01/2019,,
N82,Provider must accept insurance payment as payment in full when a third party payer contract specifies full reimbursement.,01/01/2000,,
N820,Electronic Visit Verification System units do not meet requirements of visit.,07/01/2019,,
N821,Electronic Visit Verification System visit not found.,07/01/2019,,
N822,Missing procedure modifier(s).,07/01/2019,11/01/2019,
N823,Incomplete/Invalid procedure modifier(s).,07/01/2019,11/01/2019,
N824,Electronic Visit Verification (EVV) data must be submitted through EVV Vendor.,11/01/2019,,
N825,Early intervention guidelines were not met.,11/01/2019,,
N826,Patient did not meet the inclusion criteria for the Medicare Shared Savings Program.,11/01/2019,,
N827,Missing/Incomplete/Invalid Federal Information Processing Standard (FIPS) Code.,11/01/2019,,
N829,Missing/incomplete/invalid Diagnostics Exchange Z-Code Identifier.,03/01/2020,,
N83,No appeal rights. Adjudicative decision based on the provisions of a demonstration project.,01/01/2000,,
N831,You have not responded to requests to revalidate your provider/supplier enrollment information.,03/01/2020,,
N832,Duplicate occurrence code/occurrence span code.,07/01/2020,,
N833,Patient share of cost waived.,07/01/2020,,
N834,Jurisdiction exempt from sales and health tax charges.,11/01/2020,,
N835,Unrelated Service/procedure/treatment is reduced. The balance of this charge is the patient's responsibility.,11/01/2020,,
N836,Provider W9 or Payee Registration not on file.,11/01/2020,,
N839,The procedure code was added/changed because the level of service exceeds the compensable condition(s).,03/01/2021,,
N840,Worker's compensation claim filed with a different state.,03/01/2021,,
N843,Missing/incomplete/invalid Core-Based Statistical Area (CBSA) code.,03/01/2021,,
N844,"This claim, or a portion of this claim, was processed in accordance with the Nebraska Legislative LB997 July 24, 2020 - Out of Network Emergency Medical Care Act.",03/01/2021,,
N846,National Drug Code (NDC) supplied does not correspond to the HCPCs/CPT billed.,03/01/2021,,
N847,National Drug Code (NDC) billed is obsolete.,03/01/2021,,
N848,National Drug Code (NDC) billed cannot be associated with a product.,03/01/2021,,
N849,Missing Tooth Clause: Tooth missing prior to the member effective date.,03/01/2021,,
N850,Missing/incomplete/invalid narrative explaining/describing this service/treatment.,03/01/2021,,
N851,Payment reduced because services were furnished by a therapy assistant.,07/01/2021,,
N852,The pay-to and rendering provider tax identification numbers (TINs) do not match,07/01/2021,,
N853,The number of modalities performed per session exceeds our acceptable maximum.,07/01/2021,,
N855,"This coverage is subject to the exclusive jurisdiction of ERISA (1974), U.S.C. SEC 1001.",07/01/2021,,
N856,"This coverage is not subject to the exclusive jurisdiction of ERISA (1974), U.S.C. SEC 1001.",07/01/2021,,
N857,This claim has been adjusted/reversed. Refund any collected copayment to the member.,11/01/2021,,
N86,A failed trial of pelvic muscle exercise training is required in order for biofeedback training for the treatment of urinary incontinence to be covered.,01/01/2000,,
N87,Home use of biofeedback therapy is not covered.,01/01/2000,,
N880,Original claim closed due to changes in submitted data. Adjustment claim will be processed under a new claim number.,11/01/2022,,
N881,"Client Obligation, patient responsibility for Home",11/01/2022,,
N887,"Providers not participating in the Medicare Advantage Plan have the right to appeal if the plan has partially or fully denied payment or if the provider believes the plan has not paid the services at the expected Medicare reimbursable rate or type of level/service. Providers may file their appeal in writing within 60 calendar days after the date of the remittance advice. For the plan to review the appeal, the plan will need a completed signed Waiver of Liability Statement. To obtain a Waiver of Liability form, please contact your Medicare Advantage Plan.",07/01/2023,,
N890,Electronic Visit Verification Data Element Requirements were not met.,11/01/2023,,
N891,The maximum allowable payment for this service/procedure was paid by the primary insurance. No further payment due.,11/01/2023,,
N892,The claim does not meet the criteria for acceptable use of the Delay Reason Code.,11/01/2023,,
N893,Missing/incomplete/invalid child medical evaluation form/checklist.,03/01/2024,,
N895,Processed based on a negotiated fee schedule for a specialty drug program.,03/01/2024,,
N896,Missing/incomplete/invalid trauma activation sheet.,07/01/2024,,
N897,Missing/incomplete/invalid proof of member payment.,07/01/2024,,
N898,Missing/incomplete/invalid Resource Utilization Group(s) (RUG) code(s).,07/01/2024,,
N899,Missing Initial Evaluation Report.,07/01/2024,,
N9,Adjustment represents the estimated amount a previous payer may pay.,01/01/2000,11/18/2005,Modified 11/18/05
N90,Covered only when performed by the attending physician.,01/01/2000,,
N900,Missing Therapy Notes/Report.,07/01/2024,,
N901,Incomplete/Invalid Therapy Notes/Report.,07/01/2024,,
N902,Missing Health Risk Assessment (HRA).,07/01/2024,,
N903,Incomplete/Invalid Health Risk Assessment (HRA).,07/01/2024,,
N904,The transportation vendor is responsible for this claim.,07/01/2024,,
N905,"Our records show you have opted out of Medicare, agreeing with the patient not to bill Medicare for services/tests/supplies furnished. As result, we cannot pay this claim. The patient is not responsible for payment.",03/01/2025,,
N906,Service is not covered when patient is under age 45.,03/01/2025,,
N907,No refund because this claim has been identified as 340B-eligible with a ceiling price lower than the maximum fair price.,03/01/2025,,
N908,No refund because this drug has been prospectively purchased at the maximum fair price.,03/01/2025,,
N909,Refund amount has been calculated using a methodology that differs from the Standard Default Refund Amount calculation ((Wholesale Acquisition Cost minus Maximum Fair Price) times Quantity).,03/01/2025,,
N91,Services not included in the appeal review.,01/01/2000,,
N910,A refund cannot be provided for this claim at this time. Contact the manufacturer directly regarding your eligibility.,03/01/2025,,
N911,This claim cannot be reimbursed by the manufacturer until the Part D plan submits corrected prescription drug event data to CMS for maximum fair price validation.,03/01/2025,,
N912,Our records indicate that this beneficiary did not elect hospice.,07/01/2025,,
N913,More than one Electronic Visit Verification record exists for the date and time of this service.,07/01/2025,,
N914,This claim was priced and processed in accordance with California AB-72 Health care coverage.,07/01/2025,,
N915,Predetermination of services is not allowed under the member's plan.,07/01/2025,,
N916,"The third party will render payment to the provider, and they will reimburse you for covered services.",07/01/2025,,
N917,Alternative refund amount has been calculated because the maximum fair price is below the 340B ceiling price.,03/01/2026,,
N918,No refund because CMS excludes prescription drug event records when a compound code indicates it is for a compounded drug.,03/01/2026,,
N919,Family/member out-of-pocket maximum has been met.,03/01/2026,,
N92,This facility is not certified for digital mammography.,01/01/2000,,
N920,Payment to the provider has been placed on hold as a result of active contract (re)negotiation.,03/01/2026,,
N921,The time limit for filing a reconsideration or appeal has expired.,03/01/2026,,
N922,Missing primary care dentist information.,03/01/2026,,
N93,A separate claim must be submitted for each place of service. Services furnished at multiple sites may not be billed in the same claim.,01/01/2000,,
N94,Claim/Service denied because a more specific taxonomy code is required for adjudication.,01/01/2000,,
N95,This provider type/provider specialty may not bill this service.,07/31/2001,02/28/2003,Modified 2/28/03
N96,"Patient must be refractory to conventional therapy (documented behavioral, pharmacologic and/or surgical corrective therapy) and be an appropriate surgical candidate such that implantation with anesthesia can occur.",08/24/2001,,
N97,"Patients with stress incontinence, urinary obstruction, and specific neurologic diseases (e.g., diabetes with peripheral nerve involvement) which are associated with secondary manifestations of the above three indications are excluded.",08/24/2001,,
N98,"Patient must have had a successful test stimulation in order to support subsequent implantation. Before a patient is eligible for permanent implantation, he/she must demonstrate a 50 percent or greater improvement through test stimulation. Improvement is measured through voiding diaries.",08/24/2001,,
N99,Patient must be able to demonstrate adequate ability to record voiding diary data such that clinical results of the implant procedure can be properly evaluated.,08/24/2001,,
